1,"123 Main Street","This is a famous location in Buenos Aires.",1
2,456 Elm Street,Another popular spot in Buenos Aires.,1
3,789 Oak Street,A must-visit address in Buenos Aires.,1
4,10th Avenue,A historic street in Buenos Aires.,1
5,42nd Street,A bustling area in Buenos Aires.,1
6,987 Pine Street,A beautiful address in Buenos Aires.,1
7,321 Walnut Street,A renowned location in Córdoba.,2
8,654 Cedar Street,A popular address in Córdoba.,2
9,987 Maple Avenue,A must-see spot in Córdoba.,2
10,5th Avenue,A vibrant street in Córdoba.,2
11,23rd Street,A bustling area in Córdoba.,2
12,789 Spruce Street,A charming address in Córdoba.,2
13,111 Chestnut Street,A picturesque location in Córdoba.,2
14,555 Olive Street,A famous address in Mendoza.,3
15,888 Birch Avenue,A notable spot in Mendoza.,3
16,222 Pine Avenue,A must-visit location in Mendoza.,3
17,Park Road,A scenic street in Mendoza.,3
18,Lake Avenue,A tranquil area in Mendoza.,3
19,999 Cedar Avenue,A beautiful address in Mendoza.,3
20,777 Elm Avenue,A well-known location in Rosario.,4
21,123 Oak Avenue,A popular spot in Rosario.,4
22,456 Maple Road,A must-see address in Rosario.,4
23,Riverside Drive,A scenic street in Rosario.,4
24,Hill Street,A vibrant area in Rosario.,4
25,111 Walnut Avenue,A charming address in Rosario.,4
26,543 Spruce Road,A picturesque location in Rosario.,4
27,111 George Street,This is a famous location in Sydney.,5
28,222 Pitt Street,Another popular spot in Sydney.,5
29,333 Oxford Street,A must-visit address in Sydney.,5
30,444 Collins Street,A renowned location in Melbourne.,6
31,555 Bourke Street,A popular address in Melbourne.,6
32,666 Swanston Street,A must-see spot in Melbourne.,6
33,777 Flinders Street,A vibrant street in Melbourne.,6
34,888 Queen Street,A bustling area in Brisbane.,7
35,999 Adelaide Street,A beautiful address in Brisbane.,7
36,101 Wickham Terrace,A famous location in Brisbane.,7
37,202 Ann Street,Another popular spot in Brisbane.,7
38,303 St Georges Terrace,A must-visit address in Perth.,8
39,404 Hay Street,A renowned location in Perth.,8
40,505 Murray Street,A popular address in Perth.,8
41,606 Rundle Street,A notable spot in Adelaide.,9
42,707 Hindley Street,A must-see location in Adelaide.,9
43,808 North Terrace,A vibrant street in Adelaide.,9
44,909 Gouger Street,A charming address in Adelaide.,9
45,101 King William Street,A picturesque location in Adelaide.,9
46,202 Ringstrasse,A famous address in Vienna.,10
47,303 Stephansplatz,A well-known location in Vienna.,10
48,404 Belvedere Palace,A must-visit spot in Vienna.,10
49,505 Schönbrunn Palace,A historic address in Vienna.,10
50,606 Naschmarkt,A bustling market area in Vienna.,10
51,707 Prater,A popular recreational spot in Vienna.,10
52,808 Karlsplatz,A cultural hub in Vienna.,10
53,123 Mozart Street,A famous address in Salzburg.,11
54,456 Mirabellplatz,A must-see spot in Salzburg.,11
55,789 Getreidegasse,A historic street in Salzburg.,11
56,321 Hauptplatz,A popular location in Graz.,12
57,654 Schlossberg,A notable spot in Graz.,12
58,987 Murinsel,An iconic address in Graz.,12
59,10th Street,A vibrant area in Graz.,12
60,42nd Avenue,A bustling street in Graz.,12
61,555 Maria-Theresien-Strasse,A famous street in Innsbruck.,13
62,888 Goldenes Dachl,A must-visit address in Innsbruck.,13
63,222 Bergisel,A renowned location in Innsbruck.,13
64,Park Lane,A picturesque area in Innsbruck.,13
65,Lake Street,A charming street in Innsbruck.,13
66,999 Ambras Castle,A historic landmark in Innsbruck.,13
67,777 Hauptplatz,A well-known location in Linz.,14
68,123 Landstrasse,A popular spot in Linz.,14
69,456 Lentos Art Museum,A must-see address in Linz.,14
70,Riverside Avenue,A scenic street in Linz.,14
71,Hillside Road,A vibrant area in Linz.,14
72,111 Ars Electronica Center,A famous location in Linz.,14
73,111 Grand Place,This is a famous address in Brussels.,15
74,222 Atomium,A notable spot in Brussels.,15
75,333 Manneken Pis,A must-visit location in Brussels.,15
76,Rue Royale,A bustling street in Brussels.,15
77,Avenue Louise,A vibrant area in Brussels.,15
78,999 Saint-Michel Cathedral,A historic address in Brussels.,15
79,543 Mont des Arts,A picturesque location in Brussels.,15
80,111 Grote Markt,A famous address in Antwerp.,16
81,222 Cathedral of Our Lady,A well-known location in Antwerp.,16
82,333 MAS Museum,A must-see spot in Antwerp.,16
83,444 Meir,A popular street in Antwerp.,16
84,555 Markt,A renowned location in Bruges.,17
85,666 Belfry of Bruges,A notable spot in Bruges.,17
86,777 Minnewater,A must-visit address in Bruges.,17
87,888 Rozenhoedkaai,A scenic spot in Bruges.,17
88,101 Burg Square,A historic address in Bruges.,17
89,202 Groeningemuseum,A cultural destination in Bruges.,17
90,303 Gravensteen,A famous address in Ghent.,18
91,404 Saint Bavo's Cathedral,A well-known spot in Ghent.,18
92,505 Graslei,A must-see location in Ghent.,18
93,606 Korenlei,A vibrant area in Ghent.,18
94,707 Patershol,A charming neighborhood in Ghent.,18
95,808 Ghent City Hall,A historic address in Ghent.,18
96,909 Ghent University,A renowned institution in Ghent.,18
97,101 Place Saint-Lambert,A famous address in Liege.,19
98,202 Curtius Museum,A must-see spot in Liege.,19
99,303 Montagne de Bueren,A notable staircase in Liege.,19
100,404 Outremeuse,A vibrant neighborhood in Liege.,19
101,505 Liege-Guillemins Station,A modern architectural marvel in Liege.,19
102,606 The Perron,A historic monument in Liege.,19
103,202 Copacabana Beach,This is a famous address in Rio de Janeiro.,20
104,303 Christ the Redeemer,A well-known landmark in Rio de Janeiro.,20
105,404 Sugarloaf Mountain,A must-visit spot in Rio de Janeiro.,20
106,111 Avenida Paulista,A renowned address in São Paulo.,21
107,222 Ibirapuera Park,A popular location in São Paulo.,21
108,333 Municipal Market,A bustling spot in São Paulo.,21
109,444 Museu de Arte de São Paulo,A must-see museum in São Paulo.,21
110,555 Pelourinho,A historic neighborhood in Salvador.,22
111,666 Mercado Modelo,A famous market in Salvador.,22
112,777 Elevador Lacerda,A notable address in Salvador.,22
113,888 Porto da Barra Beach,A popular beach in Salvador.,22
114,999 Farol da Barra,A scenic spot in Salvador.,22
115,123 All Saints Bay,A picturesque location in Salvador.,22
116,321 National Congress of Brazil,A renowned address in Brasília.,23
117,654 Brasília Cathedral,A notable spot in Brasília.,23
118,987 Palácio da Alvorada,A must-visit location in Brasília.,23
119,10th Avenue,A modern street in Brasília.,23
120,42nd Boulevard,A vibrant area in Brasília.,23
121,555 Amazon Theatre,A famous address in Manaus.,24
122,888 Meeting of Waters,A natural wonder in Manaus.,24
123,222 Manaus Floating Port,A notable spot in Manaus.,24
124,321 Rio Negro Palace,A historic building in Manaus.,24
125,444 Ponta Negra Beach,A popular beach in Manaus.,24
126,777 CN Tower,A well-known address in Toronto.,25
127,123 Royal Ontario Museum,A famous museum in Toronto.,25
128,456 Toronto Islands,A must-visit location in Toronto.,25
129,789 Distillery District,A vibrant area in Toronto.,25
130,10th Street,A bustling street in Toronto.,25
131,42nd Avenue,A cultural hub in Toronto.,25
132,321 Queen Street West,A trendy address in Toronto.,25
133,555 Stanley Park,A renowned spot in Vancouver.,26
134,666 Granville Island,A must-see destination in Vancouver.,26
135,777 Capilano Suspension Bridge,A famous bridge in Vancouver.,26
136,888 Gastown,A historic address in Vancouver.,26
137,999 Robson Street,A bustling street in Vancouver.,26
138,111 Canada Place,A waterfront landmark in Vancouver.,26
139,543 Science World,A popular attraction in Vancouver.,26
140,111 Mount Royal,A famous address in Montreal.,27
141,222 Old Montreal,A historic district in Montreal.,27
142,333 Notre-Dame Basilica,A must-visit spot in Montreal.,27
143,Rue Sainte-Catherine,A bustling street in Montreal.,27
144,Boulevard Saint-Laurent,A vibrant area in Montreal.,27
145,999 Montreal Museum of Fine Arts,A renowned museum in Montreal.,27
146,111 Calgary Tower,A well-known address in Calgary.,28
147,222 Stephen Avenue Walk,A popular street in Calgary.,28
148,333 Prince's Island Park,A must-see location in Calgary.,28
149,444 Glenbow Museum,A cultural destination in Calgary.,28
150,555 Fish Creek Provincial Park,A scenic spot in Calgary.,28
151,101 Heritage Park Historical Village,A historic address in Calgary.,28
152,303 Parliament Hill,A famous address in Ottawa.,29
153,404 Rideau Canal,A well-known landmark in Ottawa.,29
154,505 ByWard Market,A bustling area in Ottawa.,29
155,606 National Gallery of Canada,A must-visit museum in Ottawa.,29
156,707 Sparks Street,A vibrant street in Ottawa.,29
157,808 Canadian Museum of History,A notable address in Ottawa.,29
158,909 Plaza de Armas,A famous square in Santiago.,30
159,101 Santa Lucía Hill,A scenic spot in Santiago.,30
160,202 La Chascona,A must-see address in Santiago.,30
161,303 Parque Forestal,A green area in Santiago.,30
162,404 Sky Costanera,A renowned observation deck in Santiago.,30
163,505 Bellavista Neighborhood,A vibrant area in Santiago.,30
164,606 National Museum of Fine Arts,A cultural destination in Santiago.,30
165,101 Cerro Concepción,A famous hill in Valparaíso.,31
166,202 La Sebastiana,A notable address in Valparaíso.,31
167,303 Plaza Sotomayor,A historic square in Valparaíso.,31
168,404 Paseo Yugoslavo,A picturesque street in Valparaíso.,31
169,111 Quinta Vergara,A renowned park in Viña del Mar.,32
170,222 Flower Clock,A famous landmark in Viña del Mar.,32
171,333 Playa del Sol,A beautiful beach in Viña del Mar.,32
172,444 Casino Municipal,A popular address in Viña del Mar.,32
173,555 Universidad de Concepción,A prestigious university in Concepción.,33
174,666 Plaza de la Independencia,A historic square in Concepción.,33
175,777 Cerro Caracol,A scenic hill in Concepción.,33
176,888 Mercado Central de Concepción,A bustling market in Concepción.,33
177,999 Parque Ecuador,A green park in Concepción.,33
178,123 Estadio Municipal de Concepción,A notable stadium in Concepción.,33
179,321 Museo de Historia Natural de Concepción,A museum of natural history in Concepción.,33
180,101 Lago Llanquihue,A beautiful lake in Puerto Varas.,34
181,202 Volcán Osorno,A majestic volcano near Puerto Varas.,34
182,303 Teatro del Lago,A renowned theater in Puerto Varas.,34
183,404 Costanera de Puerto Varas,A scenic waterfront promenade in Puerto Varas.,34
184,505 Iglesia del Sagrado Corazón de Jesús,A picturesque church in Puerto Varas.,34
185,606 Plaza de Armas de Puerto Varas,A central square in Puerto Varas.,34
186,111 Forbidden City,A world-famous palace complex in Beijing.,35
187,222 Great Wall of China,One of the Seven Wonders of the World.,35
188,333 Temple of Heaven,A significant religious site in Beijing.,35
189,444 Tiananmen Square,A historic square in Beijing.,35
190,555 The Bund,A famous waterfront promenade in Shanghai.,36
191,666 Oriental Pearl Tower,An iconic skyscraper in Shanghai.,36
192,777 Yu Garden,A traditional Chinese garden in Shanghai.,36
193,888 Nanjing Road,A bustling shopping street in Shanghai.,36
194,999 Jing'an Temple,A Buddhist temple in Shanghai.,36
195,111 Shanghai Museum,A renowned museum in Shanghai.,36
196,543 People's Square,A central square in Shanghai.,36
197,111 Terracotta Army,An incredible archaeological site near Xian.,37
198,222 City Wall of Xian,A well-preserved ancient city wall.,37
199,333 Muslim Quarter,A vibrant neighborhood in Xian.,37
200,444 Big Wild Goose Pagoda,A Buddhist pagoda in Xian.,37
201,555 Bell Tower,A historic tower in Xian.,37
202,111 Li River,A scenic river in Guilin.,38
203,222 Reed Flute Cave,A fascinating limestone cave in Guilin.,38
204,333 Elephant Trunk Hill,A distinctive hill in Guilin.,38
205,444 Longji Rice Terraces,Terraced fields that create a stunning landscape.,38
206,555 Seven Star Park,A beautiful park in Guilin.,38
207,666 Guilin Tea Plantation,A tea plantation in Guilin.,38
208,111 Charles Bridge,An iconic bridge in Prague.,39
209,222 Prague Castle,A historic castle complex in Prague.,39
210,333 Old Town Square,A central square in Prague.,39
211,444 Astronomical Clock,A famous clock in Prague.,39
212,555 St. Vitus Cathedral,A stunning Gothic cathedral in Prague.,39
213,111 Špilberk Castle,A historic castle in Brno.,40
214,222 Villa Tugendhat,A modernist architectural masterpiece in Brno.,40
215,333 Cathedral of St. Peter and Paul,A notable cathedral in Brno.,40
216,444 Brno Underground,An underground labyrinth of medieval cellars.,40
