id_osoba,dodatni_jezik
1,Mongolian
1,Serbian
1,Pashto
3,Sesotho
3,Spanish
3,Malay
3,Lao
4,Swahili
5,Georgian
5,French
5,Lithuanian
6,Macedonian
7,Khmer
7,Catalan
7,Icelandic
7,Italian
7,Hungarian
10,Lithuanian
10,Icelandic
10,Hungarian
10,Slovak
10,Dzongkha
11,Indonesian
11,Bengali
11,Korean
11,Sinhala
12,Slovene
12,Italian
12,Korean
12,Kyrgyz
13,Hebrew
13,Kirundi
13,Montenegrin
13,Swahili
13,Bulgarian
13,Amharic
14,Croatian
14,Slovene
14,Latvian
14,Greek
16,Kirundi
16,Dutch
17,Khmer
17,Japanese
17,Kyrgyz
17,Indonesian
17,Urdu
17,Dhivehi
18,Montenegrin
18,Slovene
18,Amharic
19,Pashto
22,Mongolian
22,Latvian
22,Vietnamese
23,Icelandic
23,Sinhala
23,Polish
24,German
24,Norwegian
24,Latvian
24,Sinhala
25,Irish
25,Lao
26,Lithuanian
28,Sesotho
28,Arabic
28,Burmese
28,Polish
29,German
29,Greek
29,Kyrgyz
29,Thai
29,Ukrainian
29,Albanian
32,Pashto
32,Montenegrin
32,Polish
32,Catalan
32,Icelandic
32,Estonian
33,Latvian
33,Polish
34,Hebrew
34,Portuguese
34,Macedonian
34,Lithuanian
34,Slovene
34,Bulgarian
35,Czech
35,Kazakh
35,Thai
35,Mandarin Chinese
35,Albanian
35,Amharic
36,Mongolian
36,Khmer
36,Albanian
37,Burmese
38,Romanian
38,Albanian
41,Hebrew
41,Lao
41,Slovak
41,Pashto
42,Norwegian
42,Italian
42,Azerbaijani
43,Kazakh
43,Turkish
43,Swahili
44,Dhivehi
45,Ukrainian
45,Norwegian
45,Azerbaijani
45,Sinhala
46,Mongolian
46,Irish
46,Romanian
47,Turkish
47,Hebrew
47,Burmese
47,Russian
47,Bulgarian
47,Bosnian
48,Indonesian
48,Japanese
48,Lao
49,Serbian
49,Kazakh
49,Swedish
49,Catalan
49,Dhivehi
50,Bengali
50,Polish
50,Pashto
50,Indonesian
50,Romanian
52,Kazakh
52,Irish
52,Romanian
52,Estonian
53,Vietnamese
54,Latin
54,Romanian
54,Icelandic
55,Japanese
55,Swahili
56,Irish
56,Malay
57,Montenegrin
57,Finnish
58,Dutch
58,Slovak
58,Korean
59,English
60,Norwegian
61,Indonesian
61,Thai
61,Mandarin Chinese
63,Czech
63,Irish
63,Georgian
63,Persian
65,Montenegrin
66,Kazakh
66,Swahili
66,Slovene
66,Sesotho
66,Ukrainian
66,Lao
67,Kirundi
67,Bulgarian
67,Hungarian
67,Sinhala
68,Vietnamese
68,English
69,Italian
69,Hungarian
69,Estonian
69,Swahili
70,Irish
70,Dutch
70,Icelandic
71,Montenegrin
71,Latin
71,Norwegian
72,Polish
72,Kazakh
72,Macedonian
72,Icelandic
72,Finnish
72,Dzongkha
73,Bulgarian
73,Dutch
73,Kyrgyz
73,Bosnian
74,Danish
75,Polish
75,Russian
75,Korean
75,Sesotho
75,Bulgarian
76,Norwegian
76,Hungarian
76,Urdu
76,Bosnian
77,Spanish
77,Burmese
77,Finnish
78,Greek
78,Portuguese
79,Japanese
79,Spanish
79,English
81,Croatian
81,Malay
81,Icelandic
81,Nepali
82,Kazakh
82,Romanian
82,Turkish
82,Bosnian
83,Mongolian
83,Kirundi
84,Norwegian
84,Bengali
84,Portuguese
84,Pashto
84,Mongolian
84,Swahili
85,Hebrew
85,Serbian
86,Azerbaijani
88,Danish
88,Icelandic
88,French
88,Russian
88,Hungarian
88,Finnish
89,Indonesian
90,Greek
90,Thai
90,Urdu
90,Bulgarian
90,Hindi
91,Bengali
91,Macedonian
91,Indonesian
91,Sesotho
91,Bulgarian
92,Mongolian
92,Montenegrin
92,Arabic
92,Irish
92,Persian
93,Persian
93,Urdu
93,Amharic
94,Mongolian
94,Slovene
94,Icelandic
94,French
94,Sinhala
94,English
95,Japanese
95,Lithuanian
95,Georgian
95,Korean
95,Hindi
96,Turkish
96,Albanian
96,Dhivehi
97,Khmer
97,Arabic
97,Irish
97,Romanian
97,Russian
98,Latin
98,Dutch
98,Arabic
98,Malay
99,Kazakh
100,Dutch
100,Burmese
101,Serbian
101,Polish
101,Mongolian
101,Mandarin Chinese
101,Amharic
102,Greek
102,Kyrgyz
102,Sinhala
102,Lao
102,Slovak
103,Bengali
103,Azerbaijani
103,Montenegrin
103,Slovene
103,Italian
103,Dhivehi
104,Khmer
104,Latvian
104,Catalan
104,Lithuanian
104,Romanian
104,Russian
105,Serbian
105,Mongolian
105,French
105,Urdu
105,Albanian
105,Finnish
106,Korean
106,Lao
106,Amharic
106,Estonian
106,Dzongkha
107,German
107,Slovene
107,Bulgarian
107,French
108,Bengali
108,Polish
108,French
108,Dutch
108,Hindi
109,Dhivehi
110,Mongolian
110,Georgian
111,Turkish
111,Dzongkha
111,Polish
113,Hebrew
113,Mongolian
113,Malay
113,Bulgarian
113,Dzongkha
114,Hungarian
114,Arabic
116,Bengali
116,Kazakh
116,Dutch
116,Indonesian
116,Italian
116,Dzongkha
118,Ukrainian
119,Serbian
119,Spanish
119,Kazakh
119,German
119,Italian
120,Azerbaijani
120,Slovene
120,Urdu
120,Persian
120,Finnish
121,Ukrainian
122,Norwegian
122,Latvian
122,Pashto
122,Irish
122,Nepali
122,Mandarin Chinese
123,German
123,Slovene
123,Hungarian
123,Danish
124,Bulgarian
124,Pashto
126,Dutch
126,Urdu
127,Armenian
127,Norwegian
127,Spanish
127,Bengali
128,Montenegrin
128,Kyrgyz
128,Mandarin Chinese
128,Sesotho
128,Finnish
131,Norwegian
131,Polish
131,Japanese
131,Swahili
131,Dzongkha
132,Kazakh
132,Hebrew
132,Icelandic
134,Czech
134,Icelandic
134,Azerbaijani
135,Croatian
135,Latin
135,Vietnamese
135,Polish
136,Burmese
136,Montenegrin
136,Thai
136,Croatian
136,Dutch
136,Finnish
137,Burmese
137,Portuguese
138,Serbian
138,Latin
139,Azerbaijani
139,Pashto
139,Thai
139,Ukrainian
139,Bulgarian
140,Czech
140,Georgian
140,Hungarian
141,Turkish
141,Malay
141,Thai
142,Lao
142,Azerbaijani
142,English
144,Pashto
144,Czech
144,Swahili
144,Romanian
144,French
144,Russian
145,Bengali
146,Spanish
146,Dhivehi
146,Burmese
146,Sinhala
147,Ukrainian
147,Romanian
147,Latvian
147,Dzongkha
148,Kirundi
148,Spanish
148,Latvian
148,Japanese
148,Slovak
148,Amharic
149,Serbian
150,Croatian
150,Malay
150,Burmese
152,Hebrew
152,Mongolian
152,Nepali
152,Hungarian
152,Vietnamese
153,Hungarian
153,Kyrgyz
154,Georgian
154,Russian
154,Sinhala
155,Ukrainian
155,Amharic
156,Latvian
156,Burmese
156,German
156,Montenegrin
156,Icelandic
156,Estonian
157,Kyrgyz
157,Malay
157,Urdu
157,Persian
157,Amharic
158,Bulgarian
159,Latin
159,Dzongkha
159,Polish
160,Norwegian
160,Georgian
160,Icelandic
161,Japanese
162,Japanese
163,Kazakh
163,Slovene
163,Lithuanian
163,Mandarin Chinese
165,Mongolian
166,Serbian
166,Burmese
166,Urdu
166,Bosnian
166,English
167,Albanian
167,Arabic
167,Sinhala
168,Danish
168,Macedonian
168,Irish
168,Georgian
168,Urdu
168,Sinhala
169,Sesotho
169,Dutch
169,Latvian
170,Irish
170,Sinhala
171,Kazakh
171,Finnish
172,Indonesian
172,Arabic
172,Pashto
173,Bosnian
174,Thai
174,Romanian
174,Kyrgyz
174,Amharic
175,Korean
175,Estonian
178,Catalan
178,Thai
179,Bengali
179,Lithuanian
179,Irish
179,Slovene
179,Hindi
181,Serbian
181,Latvian
181,Romanian
181,Korean
181,Persian
181,Amharic
182,Kazakh
182,Greek
182,Thai
182,Malay
182,Amharic
183,French
183,Greek
185,Armenian
185,Hebrew
185,Czech
185,Montenegrin
185,Albanian
185,English
187,Kyrgyz
187,Swahili
188,Spanish
188,Malay
188,Sinhala
188,Dhivehi
188,Slovak
190,Finnish
190,Russian
190,Korean
190,Pashto
191,Italian
191,Dhivehi
191,Russian
191,Dzongkha
192,Czech
192,Italian
192,French
