1,Buenos Aires,"The bustling capital city of Argentina known for its vibrant culture, tango music, and delicious steak.",42330,7
2,Córdoba,"A city in central Argentina famous for its colonial architecture, lively student population, and vibrant arts scene.",8633,7
3,Mendoza,"A city in western Argentina renowned for its vineyards, stunning mountain landscapes, and world-class wine production.",92686,7
4,Rosario,"The largest city in the province of Santa Fe, Argentina known for its lively atmosphere, beautiful waterfront, and cultural events.",66935,7
5,Sydney,"The largest city in Australia known for its iconic landmarks like the Sydney Opera House, beautiful beaches, and vibrant culture.",21388,9
6,Melbourne,"A vibrant city in Australia famous for its thriving arts scene, multicultural cuisine, and dynamic coffee culture.",11347,9
7,Brisbane,"The capital city of Queensland, Australia known for its sunny climate, beautiful riverside parklands, and vibrant entertainment scene.",74520,9
8,Perth,"A city on the west coast of Australia known for its stunning beaches, vibrant culinary scene, and outdoor lifestyle.",18184,9
9,Adelaide,"The capital city of South Australia known for its beautiful parklands, vibrant festivals, and thriving food and wine scene.",32200,9
10,Vienna,"The capital and largest city of Austria known for its rich history, stunning architecture, and vibrant music culture.",52804,10
11,Salzburg,"A city in Austria famous for its baroque architecture, Mozart's birthplace, and the picturesque Old Town.",80666,10
12,Graz,"The second-largest city in Austria known for its beautiful historic center, vibrant arts scene, and excellent culinary offerings.",39552,10
13,Innsbruck,"A city in the Austrian Alps famous for its stunning mountain views, world-class ski resorts, and imperial architecture.",23892,10
14,Linz,"A city in northern Austria known for its contemporary arts scene, historic architecture, and beautiful Danube River.",81064,10
15,Brussels,"The capital city of Belgium known for its stunning architecture, delicious chocolate, and world-renowned beer culture.",13003,17
16,Antwerp,"A city in Belgium famous for its diamond trade, beautiful medieval architecture, and vibrant fashion scene.",16115,17
17,Bruges,"A historic city in Belgium known for its picturesque canals, well-preserved medieval buildings, and delicious Belgian chocolates.",72990,17
18,Ghent,"A vibrant city in Belgium famous for its medieval architecture, lively cultural scene, and beautiful canals.",21318,17
19,Liege,"A city in eastern Belgium known for its rich history, impressive architecture, and vibrant student atmosphere.",98071,17
20,Rio de Janeiro,"A vibrant city in Brazil known for its stunning beaches, iconic landmarks like Christ the Redeemer, and lively Carnival celebrations.",62642,24
21,São Paulo,"The largest city in Brazil known for its bustling metropolis, vibrant cultural scene, and diverse culinary offerings.",58909,24
22,Salvador,"A city on the northeastern coast of Brazil famous for its colorful colonial architecture, vibrant Afro-Brazilian culture, and lively music and dance traditions.",42042,24
23,Brasília,"The capital city of Brazil known for its modernist architecture, impressive government buildings, and unique urban design.",44927,24
24,Manaus,"A city in the heart of the Amazon rainforest in Brazil known for its rich biodiversity, iconic Opera House, and access to the Amazon River.",30662,24
25,Toronto,"The largest city in Canada known for its diverse cultural scene, iconic CN Tower, and vibrant entertainment district.",12671,31
26,Vancouver,"A coastal city in western Canada known for its stunning natural beauty, thriving film industry, and outdoor recreational opportunities.",61310,31
27,Montreal,"The second-largest city in Canada known for its vibrant arts scene, historic architecture, and rich French-Canadian heritage.",30893,31
28,Calgary,"A city in Alberta, Canada famous for its annual Calgary Stampede, stunning Rocky Mountain views, and vibrant downtown core.",48955,31
29,Ottawa,"The capital city of Canada known for its historic landmarks, including Parliament Hill, beautiful green spaces, and national museums.",14774,31
30,Santiago,"The capital and largest city of Chile known for its breathtaking mountain views, vibrant arts scene, and rich cultural heritage.",20348,35
31,Valparaíso,"A coastal city in Chile famous for its colorful hillside houses, bohemian atmosphere, and historic funiculars.",2204,35
32,Viña del Mar,"A resort city in Chile known for its stunning beaches, beautiful gardens, and annual International Song Festival.",50326,35
33,Concepción,"A city in central Chile famous for its universities, lively music scene, and delicious traditional cuisine.",7034,35
34,Puerto Varas,"A city in southern Chile known for its picturesque location on the shores of Lake Llanquihue, stunning volcano views, and German heritage.",45527,35
35,Beijing,"The capital city of China known for its iconic landmarks like the Great Wall, Forbidden City, and modern architecture.",33575,36
36,Shanghai,"China's largest city known for its futuristic skyline, bustling streets, and vibrant shopping scene.",95987,36
37,Xi'an,"An ancient city in central China known for the Terracotta Army, ancient city walls, and historic pagodas.",23698,36
38,Guilin,"A city in southern China known for its picturesque landscapes, limestone karst mountains, and beautiful Li River.",86355,36
39,Prague,"The capital city of the Czech Republic known for its stunning architecture, historic old town, and vibrant nightlife.",43244,45
40,Brno,"The second-largest city in the Czech Republic known for its rich history, beautiful architecture, and vibrant cultural scene.",49147,45
41,Ostrava,"A city in the northeastern Czech Republic known for its industrial heritage, vibrant music scene, and historic landmarks.",6325,45
42,Plzeň,"A city in western Czech Republic famous for its Pilsner beer, historic brewery, and beautiful Gothic cathedral.",71767,45
43,Český Krumlov,A picturesque town in the Czech Republic known for its well-preserved medieval architecture and stunning castle.,20621,45
44,Karlovy Vary,"A spa town in the Czech Republic famous for its hot springs, beautiful colonnades, and annual international film festival.",81362,45
45,Olomouc,"A city in the eastern Czech Republic known for its historic city center, beautiful churches, and vibrant student life.",16530,45
46,Hradec Králové,"A city in the Czech Republic known for its historic architecture, beautiful gardens, and lively cultural events.",73832,45
47,Ústí nad Labem,"A city in the Czech Republic situated on the banks of the Elbe River known for its stunning views, historic architecture, and vibrant arts scene.",45449,45
48,Pardubice,"A city in the eastern Czech Republic famous for its horse racing events, historic castle, and gingerbread production.",3633,45
49,Copenhagen,"The capital city of Denmark known for its beautiful waterfront, historic landmarks like the Little Mermaid statue, and vibrant cycling culture.",51126,46
50,Aarhus,"The second-largest city in Denmark known for its vibrant arts scene, historic architecture, and beautiful waterfront.",49297,46
51,Odense,"A city in Denmark famous for being the birthplace of Hans Christian Andersen, with a rich cultural heritage and beautiful gardens.",90451,46
52,Aalborg,"A city in northern Denmark known for its Viking history, charming waterfront, and vibrant cultural scene.",81084,46
53,Cairo,"The capital city of Egypt known for its iconic ancient sites like the Pyramids of Giza, the Sphinx, and vibrant bazaars.",47534,52
54,Alexandria,"A city on the Mediterranean coast of Egypt known for its rich history, stunning beaches, and ancient landmarks like the Citadel of Qaitbay.",4798,52
55,Luxor,"A city on the banks of the Nile River in Egypt famous for its ancient Egyptian temples, tombs, and the Valley of the Kings.",25192,52
56,Aswan,"A city on the Nile River in southern Egypt known for its beautiful river views, ancient temples, and vibrant Nubian culture.",71092,52
57,Hurghada,"A resort town on the Red Sea coast of Egypt famous for its stunning coral reefs, turquoise waters, and vibrant marine life.",61587,52
58,Sharm El Sheikh,"A popular beach resort town in Egypt known for its crystal-clear waters, world-class diving spots, and luxury resorts.",83902,52
59,Dahab,"A laid-back beach town on the Sinai Peninsula in Egypt famous for its diving opportunities, colorful coral reefs, and relaxed atmosphere.",31235,52
60,Siwa Oasis,"An oasis town in the Western Desert of Egypt known for its stunning natural beauty, ancient ruins, and unique cultural traditions.",45929,52
61,Asyut,"A city on the Nile River in central Egypt known for its historic mosques, vibrant markets, and important archaeological sites.",56200,52
62,Port Said,A city on the Mediterranean coast of Egypt famous for its strategic location at the northern entrance of the Suez Canal and its vibrant waterfront.,90376,52
63,Helsinki,"The capital city of Finland known for its beautiful architecture, vibrant cultural scene, and picturesque seaside setting.",39846,60
64,Espoo,"A city in Finland neighboring Helsinki known for its innovative technology companies, beautiful parks, and cultural events.",78002,60
65,Tampere,"The third-largest city in Finland known for its vibrant cultural scene, beautiful lakeside setting, and historic industrial heritage.",39467,60
66,Turku,"A city on the southwest coast of Finland famous for its medieval castle, beautiful riverfront, and vibrant student life.",14337,60
67,Oulu,"A city in northern Finland known for its technology-driven economy, vibrant festivals, and beautiful waterfront.",5730,60
68,Lahti,"A city in southern Finland known for its winter sports, beautiful lakes, and stunning Salpausselkä ridge.",90293,60
69,Kuopio,"A city in eastern Finland famous for its beautiful lakes, lively marketplace, and unique Finnish lakeland scenery.",9869,60
70,Vaasa,"A city on the west coast of Finland known for its beautiful archipelago, unique cultural heritage, and vibrant events.",26192,60
71,Rovaniemi,"The capital of Finnish Lapland known for its magical winter atmosphere, Santa Claus Village, and stunning Northern Lights.",48324,60
72,Joensuu,"A city in eastern Finland famous for its beautiful lakes, lively cultural scene, and stunning natural surroundings.",16638,60
73,Paris,"The capital city of France known for its iconic landmarks like the Eiffel Tower, Louvre Museum, and vibrant café culture.",34227,61
74,Marseille,"A vibrant port city in southern France known for its picturesque Vieux Port, vibrant street life, and delicious Mediterranean cuisine.",27415,61
75,Lyon,"The third-largest city in France known for its historic architecture, vibrant cultural scene, and gastronomic delights.",11983,61
76,Toulouse,"A city in southwestern France famous for its pink-hued buildings, vibrant aerospace industry, and rich cultural heritage.",18391,61
77,Nice,"A city on the French Riviera known for its stunning beaches, beautiful promenade, and vibrant arts scene.",34563,61
78,Bordeaux,"A city in southwestern France famous for its world-class wines, beautiful architecture, and vibrant café culture.",85009,61
79,Strasbourg,"The capital city of the Grand Est region in France known for its beautiful timber-framed houses, charming canals, and European institutions.",71044,61
80,Lille,"A city in northern France known for its Flemish architecture, vibrant cultural scene, and delicious local cuisine.",10058,61
81,Cannes,"A glamorous city on the French Riviera known for its prestigious film festival, luxurious hotels, and beautiful sandy beaches.",6450,61
82,Nantes,"A city on the Loire River in western France famous for its rich history, vibrant arts scene, and innovative urban projects.",17933,61
83,Berlin,"The capital city of Germany known for its rich history, vibrant arts scene, and iconic landmarks like the Berlin Wall and Brandenburg Gate.",2202,65
84,Munich,"The third-largest city in Germany known for its traditional Bavarian culture, vibrant beer gardens, and beautiful architecture.",42205,65
85,Hamburg,"A major port city in northern Germany known for its vibrant maritime atmosphere, bustling harbor, and lively entertainment district.",62613,65
86,Cologne,"A city on the Rhine River in western Germany famous for its stunning Cologne Cathedral, vibrant carnival celebrations, and vibrant arts scene.",56026,65
87,Frankfurt,"A city in central Germany known for its modern skyline, historic old town, and status as a major financial hub.",38653,65
88,Stuttgart,"A city in southern Germany famous for its automotive industry, beautiful parks, and rich cultural heritage.",56870,65
89,Düsseldorf,"A city in western Germany known for its vibrant fashion and advertising industry, beautiful riverfront, and lively carnival celebrations.",53162,65
90,Leipzig,"A city in eastern Germany known for its rich musical heritage, vibrant arts scene, and beautiful historic architecture.",66988,65
91,Dresden,"A city in eastern Germany famous for its stunning Baroque architecture, beautiful Elbe River, and world-renowned art collections.",22387,65
92,Nuremberg,"A city in southern Germany known for its rich history, beautiful medieval architecture, and famous Christmas market.",90139,65
93,Athens,"The capital city of Greece known for its ancient history, iconic landmarks like the Parthenon, and vibrant nightlife.",99433,67
94,Thessaloniki,"The second-largest city in Greece known for its vibrant cultural scene, beautiful waterfront, and historic Byzantine sites.",71326,67
95,Patras,"A city in western Greece famous for its vibrant carnival celebrations, beautiful waterfront, and historic Roman Amphitheatre.",33700,67
96,Heraklion,"A city on the island of Crete in Greece known for its rich archaeological heritage, beautiful beaches, and vibrant city life.",9112,67
97,Rhodes,"A popular island city in Greece known for its ancient ruins, beautiful beaches, and medieval Old Town.",91300,67
98,Corfu,"A picturesque island city in Greece famous for its Venetian architecture, stunning beaches, and vibrant summer festivals.",6966,67
99,Chania,"A city on the island of Crete in Greece known for its charming Venetian harbor, beautiful old town, and delicious local cuisine.",17250,67
100,Larissa,"A city in central Greece known for its rich history, ancient ruins, and vibrant cultural scene.",63223,67
101,Volos,"A coastal city in Thessaly, Greece famous for its beautiful waterfront, scenic views of Mount Pelion, and vibrant local culture.",60555,67
102,Kalamata,"A city in the southern Peloponnese region of Greece known for its picturesque beaches, olive groves, and delicious local cuisine.",57802,67
103,Budapest,"The capital city of Hungary known for its stunning architecture, thermal baths, and vibrant Danube River views.",7970,75
104,Debrecen,"The second-largest city in Hungary known for its historic landmarks, vibrant cultural scene, and beautiful Great Forest Park.",69055,75
105,Szeged,"A city in southern Hungary famous for its beautiful Art Nouveau buildings, vibrant pedestrian streets, and delicious local cuisine.",15298,75
106,Miskolc,"A city in northeastern Hungary known for its beautiful natural surroundings, historic castles, and vibrant cultural events.",73815,75
107,Pécs,"A city in southern Hungary famous for its rich history, stunning architecture, and vibrant arts scene.",99448,75
108,Győr,"A city in western Hungary known for its beautiful Baroque architecture, picturesque riverside, and vibrant festivals.",43837,75
109,Nyíregyháza,"A city in northeastern Hungary known for its beautiful parks, vibrant cultural scene, and thermal baths.",81256,75
110,Kecskemét,"A city in central Hungary famous for its beautiful Art Nouveau buildings, vibrant cultural festivals, and delicious local food.",69859,75
111,Sopron,"A city in western Hungary known for its charming Old Town, historic landmarks, and beautiful vineyards.",93330,75
112,Eger,"A city in northern Hungary famous for its stunning Baroque architecture, beautiful castle, and world-renowned wines.",94872,75
113,Reykjavik,"The capital city of Iceland known for its stunning natural landscapes, geothermal pools, and vibrant cultural scene.",75719,76
114,Akureyri,"A city in northern Iceland known for its beautiful fjords, vibrant arts scene, and stunning winter landscapes.",77490,76
115,Hafnarfjörður,"A town in southwest Iceland famous for its folklore, vibrant music scene, and proximity to the capital city of Reykjavik.",75155,76
116,Kópavogur,"A city in Iceland neighboring Reykjavik known for its modern architecture, beautiful waterfront, and vibrant cultural events.",10428,76
117,Ísafjörður,"A town in the Westfjords region of Iceland known for its stunning fjord landscapes, outdoor activities, and rich maritime heritage.",72745,76
118,Akranes,"A town on the west coast of Iceland famous for its beautiful lighthouse, scenic beaches, and historic fishing industry.",38603,76
119,Egilsstaðir,"A town in eastern Iceland known for its beautiful landscapes, proximity to stunning national parks, and outdoor recreational opportunities.",82889,76
120,Selfoss,"A town in southern Iceland famous for its proximity to the Golden Circle attractions, beautiful waterfalls, and natural hot springs.",42861,76
121,Vík,"A village in southern Iceland known for its black sand beaches, stunning cliffs, and proximity to the famous Reynisfjara beach.",82721,76
122,Grindavík,A fishing town on the Reykjanes Peninsula in Iceland famous for its Blue Lagoon geothermal spa and beautiful coastal landscapes.,79183,76
123,New Delhi,"The capital city of India known for its rich history, iconic landmarks like the Red Fort and India Gate, and vibrant street markets.",31175,77
124,Mumbai,"The largest city in India known for its bustling metropolis, Bollywood film industry, and vibrant street food culture.",53164,77
