1,Hotel Mozart,71,123456789,hotelmozart@example.com,142,"['Free Wi-Fi', 'Restaurant', 'Gym']","A charming hotel located in the heart of Vienna, offering comfortable rooms and a classical ambiance."
2,Alpine Retreat Hotel,54,987654321,alpineretreat@example.com,50,"['Spa', 'Swimming Pool', 'Mountain Views']","A luxurious hotel nestled in the Austrian Alps, providing a tranquil escape and breathtaking views."
3,Vienna Grand Hotel,50,567891234,grandhotelvienna@example.com,146,"['Concierge Service', 'Conference Facilities', 'Fine Dining']","A prestigious hotel in Vienna renowned for its elegance, exceptional service, and world-class amenities."
4,Salzburg City Inn,55,432198765,cityinnsalzburg@example.com,107,"['Bar', 'Bicycle Rental', 'City Views']","A modern hotel in Salzburg's city center, offering stylish accommodation and easy access to local attractions."
5,Innsbruck Alpine Hotel,63,876543219,alpinehotelinnsbruck@example.com,113,"['Ski Storage', 'Sauna', 'Terrace']","A cozy hotel in the heart of the Tyrolean Alps, perfect for winter sports enthusiasts and nature lovers."
6,Graz Riverside Hotel,56,219876543,riversidehotelgraz@example.com,70,"['Riverside Views', 'Fitness Center', 'On-Site Parking']","A contemporary hotel situated along the Mur River, providing a comfortable stay and picturesque surroundings."
7,Kuala Lumpur Skyline Hotel,812,123456789,skylineserene@example.com,6,"['Infinity Pool', 'Sky Bar', 'Spacious Rooms']",A luxurious hotel offering stunning views of the Kuala Lumpur skyline and impeccable hospitality.
8,Penang Beach Resort,815,987654321,penangbeachresort@example.com,116,"['Beachfront Access', 'Water Sports', 'Kids Club']","A beachfront resort in Penang, providing a perfect blend of relaxation, adventure, and family-friendly activities."
9,Langkawi Rainforest Retreat,831,567891234,rainforestretreat@example.com,80,"['Nature Walks', 'Jungle Views', 'Outdoor Pool']","A serene retreat nestled in the lush rainforests of Langkawi, allowing guests to reconnect with nature and unwind."
10,Malacca Heritage Hotel,823,432198765,heritagehotelmalacca@example.com,33,"['Historic Building', 'Cultural Tours', 'Local Cuisine']","A boutique hotel located in a beautifully restored heritage building, offering a glimpse into Malacca's rich history and culture."
11,Sabah Island Resort,821,876543219,sabahislandresort@example.com,12,"['Diving Center', 'Private Villas', 'White Sand Beaches']","An idyllic island resort in Sabah, where guests can indulge in underwater adventures and enjoy the beauty of tropical paradise."
12,Johor Bahru Urban Hotel,825,219876543,urbanhoteljb@example.com,111,"['Central Location', 'Rooftop Bar', 'Business Center']","A contemporary hotel in Johor Bahru's city center, providing convenience and comfort for both leisure and business travelers."
13,Moscow Kremlin Hotel,1223,123456789,kremlinhotelmoscow@example.com,9,"['City Views', 'Spa', 'Fine Dining']","An upscale hotel located in close proximity to Moscow's iconic Kremlin, offering luxurious accommodations and impeccable service."
14,St. Petersburg Imperial Palace,1228,987654321,imperialpalace@example.com,142,"['Historic Building', 'Art Gallery', 'Rooftop Terrace']","A grand palace-turned-hotel in St. Petersburg, showcasing opulent interiors, world-class art, and a regal atmosphere."
15,Novosibirsk City Center Hotel,1230,567891234,cityycenterhotel@example.com,10,"['Central Location', 'Modern Design', 'Fitness Center']","A contemporary hotel situated in the heart of Novosibirsk, providing easy access to the city's attractions and vibrant nightlife."
16,Sochi Beachfront Resort,1244,432198765,beachresortsochi@example.com,86,"['Private Beach', 'Outdoor Pool', 'Spa']","A luxurious resort located on the shores of the Black Sea in Sochi, offering a blend of relaxation, entertainment, and stunning sea views."
17,Yekaterinburg Business Hotel,1234,876543219,businesshotel@example.com,144,"['Meeting Rooms', 'Executive Lounge', 'Business Center']","A sophisticated hotel catering to business travelers in Yekaterinburg, providing state-of-the-art facilities and personalized service."
18,Athens Acropolis View Hotel,474,123456789,acropolisview@example.com,107,"['Panoramic Views', 'Rooftop Bar', 'Greek Cuisine']","A boutique hotel with breathtaking views of the Acropolis in Athens, combining modern comfort with traditional Greek hospitality."
19,Santorini Cliffside Retreat,481,987654321,cliffsideretreat@example.com,78,"['Infinity Pool', 'Private Balconies', 'Caldera Views']","A romantic retreat perched on the cliffs of Santorini, offering luxurious suites and mesmerizing sunset vistas."
20,Mykonos Beachfront Resort,529,567891234,beachresortmykonos@example.com,98,"['Beach Access', 'Poolside Bar', 'Water Sports']","A stylish resort located on the golden beaches of Mykonos, where guests can unwind, party, and soak up the island vibes."
21,Rhodes Old Town Hotel,521,432198765,oldtownhotelrhodes@example.com,108,"['Historic Location', 'Courtyard Garden', 'Charming Rooms']","A boutique hotel nestled within the medieval walls of Rhodes Old Town, providing a unique blend of history and comfort."
22,Toronto Skyline Hotel,127,123456789,skylinehotelto@example.com,107,"['City Views', 'Fitness Center', 'Restaurant']","A modern hotel with stunning views of the Toronto skyline, offering contemporary comfort and convenient access to the city's attractions."
23,Vancouver Waterfront Resort,133,987654321,waterfrontresortvan@example.com,128,"['Harbor Views', 'Outdoor Pool', 'Spa']","A luxurious waterfront resort in Vancouver, combining natural beauty with sophisticated amenities and exceptional service."
24,Montreal Historic Inn,140,567891234,historicinnmtl@example.com,142,"['Historic Building', 'Cozy Fireplace', 'French Cuisine']","A charming inn housed in a beautifully restored historic building in the heart of Montreal, providing a warm and inviting atmosphere."
25,Tokyo Metropolitan Hotel,744,123456789,metropolitanhotel@example.com,36,"['Central Location', 'Onsen Spa', 'Japanese Fine Dining']","A sophisticated hotel in Tokyo's bustling metropolis, offering contemporary elegance, traditional hospitality, and a range of indulgent amenities."
26,Kyoto Traditional Ryokan,748,987654321,traditionalryokankyoto@example.com,50,"['Tatami Rooms', 'Kaiseki Dining', 'Japanese Tea Ceremony']","A traditional ryokan in Kyoto, providing an authentic Japanese experience with tranquil surroundings, tatami rooms, and warm hospitality."
27,Sydney Harbour View Hotel,28,123456789,harbourview@example.com,66,"['Harbor Views', 'Rooftop Pool', 'Spa']","A luxury hotel with breathtaking views of Sydney Harbour, offering refined accommodations and world-class amenities."
28,Melbourne City Center Hotel,32,987654321,citycenterhotelmelbourne@example.com,70,"['Central Location', 'Fitness Center', 'Business Services']","A contemporary hotel situated in the heart of Melbourne, providing easy access to the city's vibrant cultural scene and culinary delights."
29,Great Barrier Reef Resort,42,567891234,barrierreefresort@example.com,46,"['Beachfront Access', 'Diving Center', 'Nature Excursions']","A tropical resort located on the shores of the Great Barrier Reef, offering a paradise for underwater exploration and relaxation."
30,Brisbane Riverside Retreat,35,432198765,riversideretreatbne@example.com,48,"['River Views', 'Outdoor Dining', 'Wellness Center']","A tranquil retreat nestled along the Brisbane River, providing a peaceful oasis amidst the bustling city."
