id,rezervacija_id,naziv,davatelj,opis,cijena
13,356,"Silver Plan",VoyageSure,"The Silver Plan offers comprehensive coverage for trip cancellation, medical emergencies, and lost baggage.",102.37
30,218,"Plan D",TravelTrust,"Plan D provides comprehensive coverage with higher limits for trip cancellation, emergency medical expenses, and lost luggage.",127.49
35,103,"Silver Plan",AdventureCover,"The Silver Plan offers comprehensive coverage for trip cancellation, medical emergencies, and lost baggage.",272.82
26,456,"Premium Plan",SafeHaven,"The Premium Plan offers higher limits for trip interruption, emergency medical expenses, and baggage protection.",95.82
10,97,"Senior Plan",WanderSafe,"The Senior Plan is designed specifically for senior travelers, providing coverage for trip cancellation, medical emergencies, and pre-existing conditions.",0.00
38,116,"Comprehensive Plan",Safeguard,"The Comprehensive Plan offers comprehensive protection with higher coverage limits for trip interruption, emergency medical expenses, and lost luggage.",187.29
39,139,"Family Plan",Safeguard,"The Family Plan provides coverage for the whole family, including children, with benefits like trip cancellation, emergency medical expenses, and baggage protection.",418.66
2,401,"Plan B",GlobalGuard,"Plan B provides enhanced benefits with higher coverage limits for trip interruption and emergency medical expenses.",292.42
28,436,"Plan B",TravelTrust,"Plan B provides enhanced benefits with higher coverage limits for trip interruption, emergency medical expenses, and baggage protection.",52.81
27,281,"Plan A",TravelTrust,"Plan A offers comprehensive coverage for trip cancellation, medical emergencies, and lost baggage.",38.48
10,125,"Senior Plan",WanderSafe,"The Senior Plan is designed specifically for senior travelers, providing coverage for trip cancellation, medical emergencies, and pre-existing conditions.",0.00
28,302,"Plan B",TravelTrust,"Plan B provides enhanced benefits with higher coverage limits for trip interruption, emergency medical expenses, and baggage protection.",52.81
26,178,"Premium Plan",SafeHaven,"The Premium Plan offers higher limits for trip interruption, emergency medical expenses, and baggage protection.",95.82
32,87,"Basic Plan",GuardianTravel,"The Basic Plan includes coverage for trip cancellation, medical emergencies, and lost baggage.",78.99
10,435,"Senior Plan",WanderSafe,"The Senior Plan is designed specifically for senior travelers, providing coverage for trip cancellation, medical emergencies, and pre-existing conditions.",0.00
41,148,"Adventure Plan",Safeguard,"The Adventure Plan provides coverage for adventure sports and activities, including benefits such as trip cancellation, medical emergencies, and equipment protection.",195.50
17,239,"Comprehensive Coverage",SafeTravels,"The Comprehensive Coverage plan provides extensive protection for trip cancellation, emergency medical expenses, and lost luggage.",117.99
26,237,"Premium Plan",SafeHaven,"The Premium Plan offers higher limits for trip interruption, emergency medical expenses, and baggage protection.",95.82
19,181,"Premier Plan",SecureJourney,"The Premier Plan provides enhanced benefits with higher coverage limits for trip interruption, emergency medical expenses, and baggage protection.",155.43
30,50,"Plan D",TravelTrust,"Plan D provides comprehensive coverage with higher limits for trip cancellation, emergency medical expenses, and lost luggage.",127.49
20,312,"Business Travel Plan",SecureJourney,"The Business Travel Plan is designed for business travelers, providing specialized coverage for trip cancellation, emergency medical expenses, and rental car protection.",193.37
42,19,"Basic Plan",RoamingProtector,"The Basic Plan includes essential coverage for trip cancellation, medical emergencies, and lost baggage.",45.82
39,414,"Family Plan",Safeguard,"The Family Plan provides coverage for the whole family, including children, with benefits like trip cancellation, emergency medical expenses, and baggage protection.",418.66
9,374,"Annual Travel Plan",WanderSafe,"The Annual Travel Plan offers year-round coverage for unlimited trips, including benefits such as trip cancellation, medical emergencies, and lost luggage.",854.11
31,18,"Plan E",TravelTrust,"Plan E is designed for senior travelers, providing coverage for trip cancellation, medical emergencies, and pre-existing conditions.",100.00
32,1,"Basic Plan",GuardianTravel,"The Basic Plan includes coverage for trip cancellation, medical emergencies, and lost baggage.",78.99
12,127,"Student Plan",WanderSafe,"The Student Plan is tailored for student travelers, providing coverage for trip cancellation, medical emergencies, and study interruption.",60.97
3,509,"Basic Plan",TravelShield,"The Basic Plan includes coverage for trip cancellation, medical emergencies, and baggage delay.",63.34
11,44,"Group Plan",WanderSafe,"The Group Plan offers coverage for groups of travelers, with benefits like trip cancellation, emergency medical expenses, and baggage protection.",190.68
26,473,"Premium Plan",SafeHaven,"The Premium Plan offers higher limits for trip interruption, emergency medical expenses, and baggage protection.",95.82
12,513,"Student Plan",WanderSafe,"The Student Plan is tailored for student travelers, providing coverage for trip cancellation, medical emergencies, and study interruption.",60.97
13,320,"Silver Plan",VoyageSure,"The Silver Plan offers comprehensive coverage for trip cancellation, medical emergencies, and lost baggage.",102.37
31,472,"Plan E",TravelTrust,"Plan E is designed for senior travelers, providing coverage for trip cancellation, medical emergencies, and pre-existing conditions.",100.00
14,305,"Gold Plan",VoyageSure,"The Gold Plan provides enhanced benefits with higher coverage limits for trip interruption, emergency medical expenses, and baggage protection.",152.63
43,92,"Premier Plan",RoamingProtector,"The Premier Plan provides enhanced benefits with higher coverage limits for trip interruption, emergency medical expenses, and baggage protection.",70.79
43,500,"Premier Plan",RoamingProtector,"The Premier Plan provides enhanced benefits with higher coverage limits for trip interruption, emergency medical expenses, and baggage protection.",70.79
45,336,"Premier Plan",ExcursionGuard,"The Premier Plan provides enhanced benefits with higher coverage limits for trip interruption, emergency medical expenses, and baggage protection.",242.09
31,137,"Plan E",TravelTrust,"Plan E is designed for senior travelers, providing coverage for trip cancellation, medical emergencies, and pre-existing conditions.",100.00
23,384,"Deluxe Plan",ExploreAssure,"The Deluxe Plan offers comprehensive coverage with higher limits for trip interruption, emergency medical expenses, and baggage protection.",288.88
46,206,"Family Plan",ExcursionGuard,"The Family Plan provides coverage for the whole family, including children, with benefits like trip cancellation, emergency medical expenses, and baggage protection.",788.64
19,11,"Premier Plan",SecureJourney,"The Premier Plan provides enhanced benefits with higher coverage limits for trip interruption, emergency medical expenses, and baggage protection.",155.43
18,211,"Standard Plan",SecureJourney,"The Standard Plan offers comprehensive coverage for trip cancellation, medical emergencies, and lost baggage.",142.24
34,449,"Group Plan",GuardianTravel,"The Group Plan provides coverage for groups of travelers, with benefits like trip cancellation, emergency medical expenses, and baggage protection.",254.23
42,400,"Basic Plan",RoamingProtector,"The Basic Plan includes essential coverage for trip cancellation, medical emergencies, and lost baggage.",45.82
43,228,"Premier Plan",RoamingProtector,"The Premier Plan provides enhanced benefits with higher coverage limits for trip interruption, emergency medical expenses, and baggage protection.",70.79
14,507,"Gold Plan",VoyageSure,"The Gold Plan provides enhanced benefits with higher coverage limits for trip interruption, emergency medical expenses, and baggage protection.",152.63
28,298,"Plan B",TravelTrust,"Plan B provides enhanced benefits with higher coverage limits for trip interruption, emergency medical expenses, and baggage protection.",52.81
23,379,"Deluxe Plan",ExploreAssure,"The Deluxe Plan offers comprehensive coverage with higher limits for trip interruption, emergency medical expenses, and baggage protection.",288.88
32,514,"Basic Plan",GuardianTravel,"The Basic Plan includes coverage for trip cancellation, medical emergencies, and lost baggage.",78.99
48,90,"Premium Plan",JourneyPro,"The Premium Plan offers higher limits for trip interruption, emergency medical expenses, and baggage protection.",333.38
13,455,"Silver Plan",VoyageSure,"The Silver Plan offers comprehensive coverage for trip cancellation, medical emergencies, and lost baggage.",102.37
38,528,"Comprehensive Plan",Safeguard,"The Comprehensive Plan offers comprehensive protection with higher coverage limits for trip interruption, emergency medical expenses, and lost luggage.",187.29
