1,960,4,"The hotel had a beautiful pool area, perfect for relaxing in the sun.",1979-05-15
2,1251,2,The rooms were outdated and in need of renovation.,2000-03-18
3,1822,3,"Decent hotel for the price, but the breakfast options were limited.",1979-02-26
4,2888,5,Absolutely loved our stay - the room was spacious and luxurious.,1977-10-22
5,2442,1,Terrible experience - the hotel was infested with bugs.,1987-05-11
6,2465,4,Friendly staff and comfortable beds made for a pleasant stay.,2004-01-27
7,375,3,"The location was convenient, but the hotel lacked charm.",1999-12-12
8,994,5,Impeccable service and breathtaking views from the balcony.,1970-11-26
9,1184,2,"The hotel was understaffed, resulting in slow service.",1983-10-09
10,1353,3,Average hotel with nothing extraordinary to offer.,1987-10-25
11,1916,4,Clean and well-maintained hotel with a helpful front desk staff.,1986-02-22
12,217,1,Stay away from this hotel - the rooms were dirty and unkempt.,1983-07-07
13,289,5,Exquisite decor and attention to detail made us feel pampered.,1986-01-01
14,106,2,Disappointing stay - the amenities advertised were not available.,1974-04-23
15,2497,3,The hotel was conveniently located near popular attractions.,2000-04-19
16,1605,4,Great value for money - spacious rooms and a complimentary breakfast.,2003-06-02
17,828,1,"The hotel was overbooked, and our reservation was mishandled.",1999-08-16
18,717,5,The hotel exceeded our expectations in every aspect.,2018-02-02
19,973,2,Uncomfortable beds and noisy surroundings made it hard to sleep.,1981-02-17
20,157,4,Attentive staff and a delicious on-site restaurant made our stay enjoyable.,1973-11-23
21,2095,3,The hotel had a decent gym but lacked other recreational facilities.,2011-07-20
22,2807,5,Charming boutique hotel with an inviting atmosphere.,2003-04-16
23,318,1,Worst hotel experience ever - rude staff and broken amenities.,1993-12-12
24,2157,4,The hotels location provided stunning views of the city skyline.,1983-11-21
25,643,2,"The room had a strange odor, and the air conditioning was faulty.",2002-09-16
26,1489,3,Average hotel with comfortable beds but outdated furnishings.,1970-01-12
27,2885,5,An oasis of tranquility in the heart of the bustling city.,2005-05-18
28,334,1,Dirty and unkempt rooms - a truly disappointing stay.,2005-03-08
29,1574,4,"The hotel had a lovely garden area, perfect for afternoon tea.",2017-11-08
30,1596,2,We encountered multiple plumbing issues during our stay.,2020-09-11
31,1411,3,"The hotel had a decent spa, but the treatments were overpriced.",1983-09-06
32,1200,5,Outstanding service from the moment we arrived.,2000-07-19
33,2855,1,Avoid this hotel at all costs - it was a complete disaster.,2015-09-16
34,303,4,Spacious rooms with comfortable beds and modern amenities.,1997-12-02
35,2550,2,"The hotel was located in a noisy neighborhood, making it hard to sleep.",2017-10-01
36,1663,3,"The hotel staff were friendly, but the check-in process was slow.",1970-02-17
37,1574,5,We were treated like royalty throughout our entire stay.,1998-09-18
38,2609,1,Filthy bathrooms and unhelpful staff - a nightmare experience.,2021-02-09
39,1991,4,The hotel had a great rooftop bar with stunning views.,1974-06-29
40,1081,2,The Wi-Fi connection was unreliable and frustrating to use.,2006-04-13
41,2634,3,"Reasonable hotel for a short stay, but lacking in charm.",2011-10-07
42,1832,5,"Every detail was thoughtfully taken care of, ensuring a luxurious experience.",1984-06-04
43,2285,1,The hotel was located in a dangerous neighborhood - not recommended.,1971-04-04
44,1567,4,Attentive and polite staff who made us feel welcome.,1990-02-12
45,1538,2,The hotels decor was outdated and in need of modernization.,1994-05-10
46,985,3,"The hotel offered a complimentary shuttle service, which was convenient.",1977-07-09
47,1451,5,A hidden gem with exceptional service and breathtaking views.,1975-04-28
48,2562,1,The hotel was infested with pests - an absolute nightmare.,2022-11-29
49,2516,4,The hotel had a fantastic pool area with plenty of loungers.,2007-12-24
50,1453,2,Unfriendly and unhelpful staff made our stay unpleasant.,2018-06-15
51,944,3,"The hotel had a decent breakfast buffet, but limited vegetarian options.",1995-11-01
52,1494,5,We felt like VIPs from the moment we stepped foot in the hotel.,1973-07-25
53,264,1,The rooms were tiny and cramped - not suitable for families.,2004-07-10
54,2693,4,The hotels location was perfect for exploring the city.,1971-06-12
55,2266,2,"The hotels noise insulation was poor, resulting in disturbed sleep.",1994-11-13
56,2315,3,"The hotel had a small fitness center, but it lacked equipment.",1992-06-17
57,1504,5,An unforgettable stay at a truly exceptional hotel.,1989-08-22
58,2877,1,We encountered multiple maintenance issues during our stay.,1973-01-31
59,2000,4,"The hotel had a cozy lounge area, perfect for relaxing with a book.",2009-10-01
60,598,2,"The hotels walls were thin, and we could hear our neighbors.",1993-09-16
61,330,3,"The hotel had a helpful concierge service, assisting with our sightseeing plans.",2006-10-14
62,2023,5,Immaculate rooms and top-notch amenities - a luxurious experience.,1978-03-16
63,1598,1,The hotel overcharged us and refused to resolve the issue.,2019-01-28
64,373,4,"The hotel had a beautiful courtyard, ideal for enjoying a cup of coffee.",1997-12-28
65,47,2,The cleanliness of the hotel left much to be desired.,1998-09-05
