id,tip_transporta,kapacitet,cijena,ime_tvrtke,telefonski_broj,email,trajanje_u_minutama
1,zrakoplov,309,422.34,"Wanderlust Adventures",277-881-8312,inquiries@wanderlustadventures.com,281
2,autobus,83,31.48,"Wanderlust Adventures",692-638-0409,contact@wanderlustadventures.com,247
3,brod,343,180.25,"Wanderlust Adventures",975-449-0027,wanderlustadventures@gmail.com,285
4,vlak,144,27.67,"Wanderlust Adventures",765-721-3877,inquiries@wanderlustadventures.org,56
5,zrakoplov,197,203.46,"Globetrotter Getaways",513-748-1154,globetrottergetaways@gmail.com,94
6,autobus,88,56.56,"Globetrotter Getaways",936-685-9881,globetrottergetaways@gmail.com,279
7,brod,898,175.55,"Globetrotter Getaways",856-467-0561,contact@globetrottergetaways.com,290
8,vlak,79,148.12,"Globetrotter Getaways",201-121-1904,contact@globetrottergetaways.com,37
9,autobus,54,71.37,"Epic Excursions",392-658-7276,support@epicexcursions.com,388
10,brod,2126,293.85,"Epic Excursions",629-356-2585,support@epicexcursions.com,28
11,zrakoplov,72,128.11,"Jetset Journeys",888-216-9747,jetsetjourneys@gmail.com,365
12,brod,1895,259.01,"Roaming Rendezvous",113-478-2376,info@roamingrendezvous.org,480
13,zrakoplov,174,129.61,"Vista Vacations",409-046-2280,bookings@vistavacations.org,173
14,brod,1241,173.79,"Vista Vacations",437-488-5777,vistavacations@gmail.com,437
15,vlak,38,29.48,"Vista Vacations",169-343-7018,info@vistavacations.com,447
16,brod,1133,43.58,"Discover Destinations",278-017-8589,discoverdestinations@gmail.com,410
17,vlak,41,87.53,"Discover Destinations",414-028-2585,reservations@discoverdestinations.org,99
18,autobus,43,90.41,"Sojourn Specialists",968-627-1285,support@sojournspecialists.org,137
19,autobus,64,136.93,"Nomad Navigators",276-482-6830,nomadnavigators@gmail.com,283
20,brod,67,236.34,"Nomad Navigators",759-715-8758,support@nomadnavigators.org,270
21,vlak,112,61.24,"Nomad Navigators",191-477-5028,support@nomadnavigators.com,399
22,zrakoplov,264,359.45,"Expedition Express",812-251-7182,contact@expeditionexpress.com,268
23,autobus,20,57.13,"Expedition Express",972-850-1687,inquiries@expeditionexpress.com,342
24,brod,1370,259.95,"Expedition Express",986-676-6048,inquiries@expeditionexpress.com,179
25,vlak,69,109.64,"Expedition Express",148-735-4015,expeditionexpress@gmail.com,300
26,zrakoplov,171,94.24,"Dreamland Travel",681-708-4331,dreamlandtravel@gmail.com,393
